"word","rating","sd","surveygroup","n","groupsize"
"image",2.74074074074074,1.50875885294943,3,27,27
"sorry",1.59259259259259,0.97109213930499,3,27,27
"mirror",2.11111111111111,1.2810252304407,3,27,27
"filling",1.81481481481481,1.17790678216249,3,27,27
"conventional",3.22222222222222,1.50213523239762,3,27,27
"line",1.61538461538462,1.1688258408137,3,26,27
"dealer",1.96296296296296,1.09127594625887,3,27,27
"boy",1.25925925925926,0.764228751124677,3,27,27
"understood",1.66666666666667,0.9198662110078,3,27,27
"collected",1.77777777777778,1.05003052458683,3,27,27
"font",1.7037037037037,1.2030350981137,3,27,27
"break",2.25925925925926,1.19590945735847,3,27,27
"away",1.74074074074074,1.19590945735847,3,27,27
"granted",1.62962962962963,1.18152926159761,3,27,27
"woman",1.92592592592593,1.20658213804136,3,27,27
"complaint",2.74074074074074,1.31829121892385,3,27,27
"truly",1.85185185185185,1.09908016449084,3,27,27
"machine",3.11111111111111,1.69463709147265,3,27,27
"host",1.66666666666667,1.1766968108291,3,27,27
"didn't",2.33333333333333,1.66410058867569,3,27,27
"stupid",1.7037037037037,1.06752102536725,3,27,27
"modify",1.96296296296296,1.2854655391809,3,27,27
"highway",2.92307692307692,1.83135090953267,3,26,27
"and",1.51851851851852,1.05138627792696,3,27,27
"ski",2.11111111111111,1.12089707663561,3,27,27
"sometime",2.37037037037037,1.59682733877447,3,27,27
"affect",2.22222222222222,1.47630863287023,3,27,27
"prayer",1.88888888888889,1.18754217199071,3,27,27
"crashes",2.14814814814815,1.37850821553043,3,27,27
"operation",2.65384615384615,1.4681228202656,3,26,27
"representatives",2.66666666666667,1.66410058867569,3,27,27
"actors",1.88888888888889,1.45002210416397,3,27,27
"spend",1.59259259259259,1.15223058787524,3,27,27
"hung",1.73076923076923,1.31324612491923,3,26,27
"rank",1.66666666666667,1.1766968108291,3,27,27
"investigation",3,1.5191090506255,3,27,27
"survive",2.25925925925926,1.43023915677905,3,27,27
"wondered",2.11111111111111,1.36813554584145,3,27,27
"water",1.77777777777778,1.25064086135971,3,27,27
"gate",1.84615384615385,1.46129552636851,3,26,27
"images",2.48148148148148,1.36917634899376,3,27,27
"incredibly",2.2962962962963,1.40916818930708,3,27,27
"contract",1.92592592592593,1.07151675122144,3,27,27
"director",2.14814814814815,1.45981304661047,3,27,27
"degrees",2.14814814814815,1.37850821553043,3,27,27
"through",4.22222222222222,1.71718314361571,3,27,27
"package",2.7037037037037,1.48879958910668,3,27,27
"drives",1.92592592592593,0.997146927138621,3,27,27
"are",1.84615384615385,1.25514326488438,3,26,27
"lead",2.40740740740741,1.21716123890037,3,27,27
"below",1.92592592592593,1.32798070902132,3,27,27
"afternoon",1.96296296296296,1.2854655391809,3,27,27
"wrote",2.66666666666667,1.61721508012528,3,27,27
"walker",2.07407407407407,1.356634011241,3,27,27
"sell",1.44444444444444,0.974021534011415,3,27,27
"reply",1.7037037037037,0.992851945536184,3,27,27
"domestic",1.92592592592593,1.32798070902132,3,27,27
"march",2.40740740740741,1.5506638593062,3,27,27
"handled",2.55555555555556,1.64862024673626,3,27,27
"remain",2.14814814814815,1.13353442157717,3,27,27
"loading",2.22222222222222,1.25064086135971,3,27,27
"sooner",1.73076923076923,1.00230503571287,3,26,27
